game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,away_moneyline,home_moneyline,total_line,under_odds,over_odds,away_rest,home_rest,div_game,roof,temp,wind
2024_01_AAA_BBB,2024,REG,1,2024-09-08,Sunday,13:00,AAA,27,BBB,21,Home,-6,48,0,-140,120,45.5,-110,-110,7,7,1,outdoors,72,5
2024_01_CCC_DDD,2024,REG,1,2024-09-08,Sunday,13:00,CCC,14,DDD,28,Home,14,42,0,155,-175,41,-110,-110,7,7,1,dome,,
2024_02_BBB_CCC,2024,REG,2,2024-09-15,Sunday,13:00,BBB,17,CCC,20,Home,3,37,0,135,-155,42,-110,-110,7,7,0,outdoors,63,10
2024_02_DDD_AAA,2024,REG,2,2024-09-15,Sunday,13:00,DDD,16,AAA,30,Home,14,46,0,210,-250,44,-110,-110,7,7,0,outdoors,69,7
2024_03_AAA_CCC,2024,REG,3,2024-09-22,Sunday,13:00,AAA,24,CCC,21,Home,-3,45,0,-165,145,43,-110,-110,7,7,0,dome,,
2024_03_BBB_DDD,2024,REG,3,2024-09-22,Sunday,13:00,BBB,14,DDD,17,Home,3,31,0,-110,-110,40.5,-110,-110,10,7,1,outdoors,52,16
2024_04_CCC_AAA,2024,REG,4,2024-09-29,Sunday,13:00,CCC,10,AAA,27,Home,17,37,0,230,-270,44,-110,-110,7,7,0,outdoors,67,8
2024_04_DDD_BBB,2024,REG,4,2024-09-29,Sunday,13:00,DDD,13,BBB,24,Home,11,37,0,190,-220,41,-110,-110,7,10,1,closed,,
2024_05_BBB_AAA,2024,REG,5,2024-10-06,Sunday,13:00,BBB,21,AAA,28,Home,7,49,0,175,-205,45,-110,-110,7,7,1,outdoors,61,9
2024_05_DDD_CCC,2024,REG,5,2024-10-06,Sunday,13:00,DDD,17,CCC,20,Home,3,37,0,125,-145,40,-110,-110,7,7,1,dome,,
2024_06_AAA_BBB,2024,REG,6,2024-10-13,Sunday,13:00,AAA,,BBB,,Home,,,0,-135,115,44,-110,-110,7,7,0,outdoors,60,8
